"content","created_at","date","likeCount","media","outlinks","quoteCount","quotedTweet","replyCount","retweetCount","retweetedTweet","url","id","conversationId"
"@profdork wow I cant lie I laughed when I read this. Thank you.","Sat Jun 08 05:44:26 0000 2013","2013-06-08 05:44:2600:00","1","","","0","","0","0","","https://twitter.com/Trevornoah/status/343242092224589824","343242092224589824","343149134448054272"
"@ldayimane dont spread lies about me. Lol","Sat Jun 08 01:53:11 0000 2013","2013-06-08 01:53:1100:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343183897661685760","343183897661685760","343107260546945025"
"@profdork I didnt know you were there. I would have stuck around to say hi. Already running to another show.","Sat Jun 08 01:52:22 0000 2013","2013-06-08 01:52:2200:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343183692073676800","343183692073676800","343149134448054272"
"@siggyflicker thank you so much. I had an amazing time.","Sat Jun 08 01:51:02 0000 2013","2013-06-08 01:51:0200:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343183353773694976","343183353773694976","343178309544329216"
"@melanievotaw thank you. I had a great time with yall.","Fri Jun 07 06:39:08 0000 2013","2013-06-07 06:39:0800:00","0","","","0","","2","0","","https://twitter.com/Trevornoah/status/342893470077304832","342893470077304832","342830565059350529"
"Somebody ordered hot hot RT @News24: Diarrhoea outbreak hits Durban http://t.co/ETSaYnaKHx","Thu Jun 06 20:23:46 0000 2013","2013-06-06 20:23:4600:00","24","","http://www.news24.com/SouthAfrica/News/Diarrhoea-outbreak-hits-Durban-20130606","0","","63","179","","https://twitter.com/Trevornoah/status/342738609356546048","342738609356546048","342738609356546048"
".@EASPORTSFIFA please tell me you guys will improve goalkeeper intelligence. They hardly ever cover the near post. Its too easy to score","Thu Jun 06 10:20:56 0000 2013","2013-06-06 10:20:5600:00","21","","","0","","51","111","","https://twitter.com/Trevornoah/status/342586901590593537","342586901590593537","342586901590593537"
"The closure law- if any tv show gets cancelled, they should have to make one last episode to end the story.","Thu Jun 06 10:18:42 0000 2013","2013-06-06 10:18:4200:00","30","","","0","","47","234","","https://twitter.com/Trevornoah/status/342586338773708802","342586338773708802","342586338773708802"
"@LuzaanHamel I hope you were nice.","Wed Jun 05 19:49:22 0000 2013","2013-06-05 19:49:2200:00","0","","","0","","3","1","","https://twitter.com/Trevornoah/status/342367562241282049","342367562241282049","342320216744796161"
"Naan of them. RT @ComicalTshepo: Garlic naan, butter naan or Rogni naan","Wed Jun 05 19:48:00 0000 2013","2013-06-05 19:48:0000:00","15","","","0","","18","74","","https://twitter.com/Trevornoah/status/342367218056708096","342367218056708096","342367218056708096"
"Catholic Naan RT @ComicalTshepo: Garlic naan, butter naan or Rogni naan","Wed Jun 05 19:34:55 0000 2013","2013-06-05 19:34:5500:00","5","","","0","","14","24","","https://twitter.com/Trevornoah/status/342363925586796544","342363925586796544","342363925586796544"
"@Vincentctz88 no that sounds right. It can take as long as they want.","Tue Jun 04 23:37:54 0000 2013","2013-06-04 23:37:5400:00","2","","","0","","2","1","","https://twitter.com/Trevornoah/status/342062688387620864","342062688387620864","341872037893136384"
"@SchabirShaik @TheIlluminati why would I want to subtweet somebody","Tue Jun 04 04:23:30 0000 2013","2013-06-04 04:23:3000:00","0","","","0","","1","1","","https://twitter.com/Trevornoah/status/341772174618681344","341772174618681344","341769450145595392"
"@ktait74 Ronaldinho was benched by Rijkaard because he was overweight and out of shape - http://t.co/XHLfqmoOqF read before you argue","Tue Jun 04 03:52:15 0000 2013","2013-06-04 03:52:1500:00","0","","http://www.nationmultimedia.com/2007/12/25/sport/sport30060233.php","0","","0","0","","https://twitter.com/Trevornoah/status/341764306708340736","341764306708340736","341764306708340736"
"Dwayne Wade brought the Pacers to his knees.","Tue Jun 04 03:40:59 0000 2013","2013-06-04 03:40:5900:00","10","","","0","","21","34","","https://twitter.com/Trevornoah/status/341761474051596288","341761474051596288","341761474051596288"
"@MrJasonBoardman no I dont. But it should be on my website soon. http://t.co/gyIT5T7FSh","Tue Jun 04 03:23:14 0000 2013","2013-06-04 03:23:1400:00","1","","http://TrevorNoah.com","0","","1","0","","https://twitter.com/Trevornoah/status/341757004982910976","341757004982910976","341755555754430464"
"Miami just drilled the Pacers hard #NoHomoHibbert 

#game7 @NBAonTNT","Tue Jun 04 03:20:59 0000 2013","2013-06-04 03:20:5900:00","8","","","0","","16","32","","https://twitter.com/Trevornoah/status/341756438168891394","341756438168891394","341756438168891394"
"Flo Ridas manager just got ejected from the game. I think its for what hes allowed Flo Rida to do to music. #game7","Tue Jun 04 03:17:28 0000 2013","2013-06-04 03:17:2800:00","9","","","0","","13","61","","https://twitter.com/Trevornoah/status/341755555754430464","341755555754430464","341755555754430464"
"@joaomatthews @IAmTilana it stands for Black funny fellows","Tue Jun 04 03:08:25 0000 2013","2013-06-04 03:08:2500:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/341753277521747969","341753277521747969","341748850622607362"
"No I mean Ronaldinho. Both Ronaldo amp Ronaldinho struggled to keep their weight down RT @sheltonpaulsen: @Trevornoah I think you mean Ronaldo","Tue Jun 04 00:12:34 0000 2013","2013-06-04 00:12:3400:00","1","","","0","","8","4","","https://twitter.com/Trevornoah/status/341709022501683200","341709022501683200","341709022501683200"
