UserId,PostId,TimeStamp,content
U17,P160,44782.01,@SamRamani2 If only there was something we could do.#ArmUkraineNow #CloseTheSkyOverUkraineNOW
U105,P161,44782.01,"Yes, dear world, the year is 2022 and you have just seen a video showing a dead Ukrainian soldiers rotten head and blackened wrists put on spikes by Wagner mercenaries in Popasna.
This is why we say we need all weapons possible to bring this war to an end ASAP."
U107,P164,44782.01,"CNN a fait un reportage sur les Ukrainiens qui fuient le rgime de Kiev, et rejoignent la zone contrle par les Russe,  #Kherson. Ils donnent toutes sortes dexcuses pour quon les laisse passer.

#Ukraine #Seversk #Pisky #Marinka https://t.co/4REoJqusaU"
U108,P165,44782.01,"Russia halts U.S. inspections of its nuclear arsenals

#Russia  #Inspections  #Nuclear  #Arsenals

Breaking News 
 https://t.co/xv58UaGbec https://t.co/pYrgBPY0P2"
U807,P166,44782.01," , 
Telugu

#StandWithUkraine #RussianWarCrimes #RussiaInvadedUkraine #PutinsWar"
U42,P169,44782.01,Ukraine hopes for Germanys help in getting 8bn euros from EU https://t.co/K0DKtouXnt #euros #Germany #Russia #Ukraine
U807,P170,44782.01,"G fuck dig selv, Putin
Danish

#UkraineRussiaWar #StopPutin #PutinsWar #IStandWithUkraine"
U42,P171,44782.01,Ukraine wants to get help from Germany in securing 8 billion euros from the EU https://t.co/zzQwJl8y7q #euros #Germany #Russia #Ukraine
U13,P172,44782.01,retrospective 014 March 14 captured and abandoned equipment of the ukrainian armed forces enters into service of peoples militia units of the Lugansk and Donetsk #ukraine #russia #china #estonia #lithuania #latvia #poland #sweden #finland #europe #germany #russiaukrainewar #us https://t.co/GW48YA3WHQ
U111,P173,44782.01, #china #taiwan https://t.co/YWDBVqjoUs https://t.co/h7YaULh47j
U112,P175,44782.02,"OK, Irak war ein Fehler, Vietnam war ein katastrophaler Fehler. Chile auch. Aber Nazi-Deutschland war richtig, Sdkorea war richtig, Serbien war richtig, Afghanistan am Anfang richtig und #Ukraine IST richtig 
Danke, #USA, fr so viel Engagement fr Freiheit amp Demokratie."
U113,P176,44782.02,"Never advocated use of force...see below what I said...

...saying #UN troops will come in and secure the ZNPP and relieve #Putin of any accountability...

In other words...come in and take over to avoid any accidents and relieve Putin of any accountability. ie let them leave https://t.co/c4iy91b7NT"
U114,P178,44782.02,Heres a look at the challenges of understanding and responding to #Chinas increasingly complex relationships in Latin America: https://t.co/eM9GnErmiN
U807,P179,44782.02,"   
Arabic

#StopRussianAggression #RussiaInvadedUkraine #StandWithUkraine #FuckPutin"
U119,P192,44782.02,"#China #USA #FBI #Weltfrieden
https://t.co/atKuGIWmuA"
U807,P193,44782.02,"Menj ki magad, Putyin
Hungarian

#RussianWarCrimes #PutinWarCrimes #IStandWithUkraine #Ukraine"
U120,P194,44782.02,@BackAndAlive Mmm y que se puede hacer para contrarrestarlos #BackAndAlive #united24 #UARMYHOPE #UkraineWar  #NATO #UE
U122,P197,44782.02,#Rusia #EstadosUnidos Rusia quiere que los pases sancionadores no puedan adoptar a sus nios https://t.co/yusxwJhOYD https://t.co/kw9rf1zI3O
U122,P198,44782.02,"#Taiwn #China El escudo de silicio taiwans frente a China, por qu interesa Taiwan a Occidente https://t.co/vyC4iYMMvk https://t.co/02dx556nUF"
U807,P199,44782.02,"The Gaza page now tells you that at the beginning we do not want anything but translation of Gaza news to the West. Of course, they do not ask to translate news and urgent matters for #Russia  or #China  for example because these countries do not provide support withmillions https://t.co/upxgbrjGbR"
U125,P201,44782.02,"@karrellan @Soulful70 @amnesty Hola al grupo y a @toninote 

La directora de #AmnistiaInternacional en Ucrania es Oksana Pokalchuk. As lo anuncia en su cuenta de twitter, @OPokalchuk adjunto foto, cuenta mediante la que denuncia el abuso militar ruso al invadir injustamente a Ucrania
#RussianWarCrimes https://t.co/kiNY5vdhLo"
U807,P202,44782.02,"Ale Fuck tt ou, Putin
Haitian Creole

#RussianWarCrimes #PutinWarCrimes #StandWithUkraine #Ukraine"
U119,P204,44782.02,"#China #FBI #MI5 #Bedrohung #Weltfrieden
https://t.co/QVEOch1pFz"
U127,P205,44782.02,"#China #USA 
https://t.co/i2O21QnRJU"
U84,P206,44782.02,"#ClassicNPEC: The first warning the war crime of occupying a nuclear power plant:  #Ukraine: Those non-secure Chernobyl spent fuel rods.   Henry D. Sokolski @HenrySokolski, Executive Director of the Nonproliferation Policy Education Cente... https://t.co/rNxrSwPrRv via @Audioboom"
U128,P207,44782.02,"#Europa  #europe #unioneuropea  #europeanunion  #European #nato  #OTAN  #Ukraina #ukraine #Ucrania #guerra #USA #EstadosUnidos #EUA #US
#nazi #nazismo #nazisminukraine
 @dwespanol @rtvenoticias @euronewses @bbcmundo @CNNEE @AFPespanol https://t.co/bAUlfcrv6w"
U807,P208,44782.02,"Wear it proudly, SGT Izzy https://t.co/Hit0o5Fcqt"
U807,P209,44782.02,"  , 
Georgian

#StandWithUkraine #Ukraine #RussiaInvadedUkraine #RussianWarCrimes"
U59,P210,44782.02,"#StandWithUkraine 
 
https://t.co/3JHsLngAJX Is Now Playing - 
Stevie Ray Vaughan And Double Trouble - Pride and Joy - Video:  https://t.co/MDLwHvYVnE"
U128,P213,44782.02,"#Europa  #europe #unioneuropea  #europeanunion  #European #nato  #OTAN  #Ukraina #ukraine #Ucrania #guerra #USA #EstadosUnidos #EUA #US
#nazi #nazismo #nazisminukraine
 @dwespanol @rtvenoticias @euronewses @bbcmundo @CNNEE @AFPespanol https://t.co/IWRVDyRWHj"
U807,P214,44782.02,"Iet Fuck sevi, Putins
Latvian

#PutinsWar #FuckPutin #Ukraine #StopPutin"
U131,P216,44782.02,"@EuromaidanPress #PutinWarCriminal is going to be soooo mad, he wanted Bayrakter plant in #Russia "
U133,P218,44782.02,"Biden just gave #Ukraine 4.5 Billion Dollars more without any explanation of why. Both he and his son Hunter had business dealings in Ukraine. Yet, no investigation into both. But, the #FBI raids Mara Lago Its Biden NOT President Trump whos crooked."
U136,P222,44782.02,"Liveblog #UkraineKrieg  alle Entwicklungen #USA: Bislang 70.000 bis 80.000 #russischeSoldaten gettet oder verletzt  Washington gibt Ukraine weitere 4,5 Milliarden Dollar https://t.co/jcUFUtdZPh"
U128,P223,44782.02,"#Europa  #europe #unioneuropea  #europeanunion  #European #nato  #OTAN  #Ukraina #ukraine #Ucrania #guerra #USA #EstadosUnidos #EUA #US
#nazi #nazismo #nazisminukraine
 @dwespanol @rtvenoticias @euronewses @bbcmundo @CNNEE @AFPespanol https://t.co/VDjSGNWirc"
U807,P224,44782.02,", 
Tamil

#IStandWithUkraine #StopPutin #RussianWarCrimes #StandWithUkraine"
U13,P226,44782.02,retrospective 015 March 14 russian servicemen delivered humanitarian cargo to residents of Izyum district of Kharkov region #ukraine #russia #china #estonia #lithuania #latvia #poland #sweden #finland #europe #germany #russiaukrainewar #us https://t.co/bZOay2B3ZN
U138,P227,44782.02,"@AnonOpsSE 80K #Russians dead, so who will be left in #Russia to harvest and plant next years crops @KremlinRussiaE"
U139,P228,44782.02,"


#DestroyRussia #RussiaIsATerroristState #RussianWarCrimes #RussiaInvadedUkraine https://t.co/m4JQoBqOu3"
U140,P229,44782.02,"#European arrogance. Who ever think its no more.. is a fool. 

#history #turkey #china https://t.co/bpU4Q1gjfP"
